CID,glc,glyc,ac,comments
2,9.63,8.98,4.14,
3,2.55,4.08,2.43,
4,0.0832,0.129,0.135,
5,0.115,0.255,0.267,
6,0.00208,nan,nan,
8,0.555,0.149,0.189,
10,1.37,4.54,3.7,
15,1.79,nan,nan,
16,0.173,0.209,0.0493,
19,0.184,1.1,0.388,
20,0.281,0.156,0.101,
24,0.606,0.734,0.628,
25,96,149,44.8,
26,0.443,0.616,0.446,
29,2.5,1.12,0.553,
35,0.676,0.0232,0.0177,
36,0.001,nan,nan,added from sauer
41,2.55,1.77,0.879,
42,0.569,1.14,0.923,
43,9.24,4.11,2.4,
44,4.87,2.69,1.25,
47,0.405,0.762,0.554,
49,4.23,9.3,7.35,
51,16.6,17.6,7.97,
55,0.36,nan,nan,
61,0.0537,0.00274,0.0531,
62,0.569,nan,nan,
63,2.73,1.4,1.15,
64,3.77,0.4,0.193,
65,0.0676,0.175,0.0975,
73,0.145,0.129,0.0659,
74,0.184,1.34,0.909,
75,8.29,3.99,2.37,
77,0.0101,0.0303,0.064,
78,0.0115,0.00466,0.000896,
79,0.0182,0.0421,0.0274,
81,0.205,nan,nan,
82,0.0289,0.0874,0.0522,
83,0.0345,nan,nan,
91,0.233,1.44,0.39,
92,8.75,5.48,4.36,
93,0.049,0.813,0.246,
100,0.00532,nan,nan,
104,0.0237,nan,nan,
108,0.00348,0.00266,0.00344,
111,0.374,0.544,0.147,
117,1.32,1.02,0.686,
119,0.258,0.153,0.0944,
122,0.121,0.288,0.298,
123,0.303,0.438,0.341,
127,2.37,7.31,1.68,
130,0.272,nan,nan,
131,0.0155,0.051,0.0685,
135,0.068,0.15,0.0955,
137,0.00572,0.00705,0.0069,
144,0.0238,nan,nan,
147,0.00147,nan,nan,
148,0.385,0.451,0.361,
149,1.7,3.45,3.33,
152,0.511,0.97,0.54,
156,0.0522,0.787,0.294,
158,1.96,2.32,21.9,
166,0.0898,0.195,0.148,
167,0.566,0.375,0.188,
183,4.02,2.29,1.07,
188,0.179,nan,nan,
196,0.138,0.414,0.274,
197,1.54,4.08,1.51,
198,1.04,nan,nan,
212,0.000131,nan,nan,
224,0.00663,nan,nan,
227,1.07,1.05,1.56,
242,0.188,0.00331,nan,
255,0.019,0.0221,0.0188,
257,0.0416,nan,nan,
258,1.35,0.931,0.516,
299,2.09,nan,nan,
327,1.41,nan,nan,
330,0.000522,nan,nan,
332,0.0218,nan,nan,
337,0.0121,0.0236,0.0205,
345,3.81,4.95,3.06,
352,1.15,0.378,0.316,
354,15.2,5.85,nan,
360,0.00884,nan,nan,
362,0.0507,nan,nan,
363,0.378,nan,nan,
380,0.0141,nan,nan,
387,0.00162,nan,nan,
417,0.0161,0.0959,0.0723,
437,0.0433,0.398,0.152,
438,0.59,0.0902,0.0266,
458,0.0352,0.083,0.146,
459,4.62,0.525,0.667,
475,0.00259,nan,nan,
493,0.0141,nan,nan,
498,0.00427,nan,nan,
559,0.00282,nan,nan,
575,0.0354,nan,nan,
673,0.303,nan,nan,
860,0.0128,0.0192,0.0196,
1817,0.37,nan,nan,
3722,0.0119,0.00458,0.00359,
4256,0.0819,nan,nan,
